Basin Name,Polygon,Split Poly,Basin UBI,Longitude,Latitude,Basin Type,Salt,Volcanics,Region,Countries,Setting,Geo Period,Geo Age,Age Old,Age Young,Max Sed St,Mean Sed S,Med Sed St,Mean Sed L,Med Sed La,Max Sed La,Poly Area,Moho Mean,Moho Med k,Moho Max k,Moho Min k,Perm Salt,Tri Salt,Jur Salt,Cret Salt,Salt Fm(s),Salt Per.,Salt Ages,Evap Numb
Cape Vogel,127.00000,No,"126",149.650370000000009,-8.791040000000002,Forearc,None,Extrusive,Asia,Papua New Guinea,On-Offshore,Paleocene,Thanetian,59.20,0.00,0.658536400000000,0.269738362181617,0.277000000000000,0.662499994039536,0.500000000000000,1.299999952316284,"92736",-23.606250047683716,-24.000000000000000,-21.000000000000000,-25.000000000000000,None,None,None,None,,,,"0"
Cariaco,128.00000,No,"127",-65.532079999999993,10.520640000000000,Strike-Slip,None,None,South America,Venezuela,On-Offshore,Cretaceous,Aptian,125.00,0.00,4.093074000000000,2.740110197183099,2.913000000000000,1.500000000000000,1.500000000000000,2.000000000000000,"28841",-29.576666514078777,-30.239999771118164,-27.860000610351562,-30.629999160766602,None,None,None,None,,,,"0"
Carpentaria,129.00000,No,"128",139.740029999999990,-14.403029999999999,Intracratonic,None,None,South Pacific,"Australia, Indonesia, Papua New Guinea",On-Offshore,Proterozoic,Neoproterozoic,1000.00,0.00,2.855032000000000,0.956685916530474,0.960000000000000,0.917391304088675,0.800000011920929,1.799999952316284,"857335",-37.386087002961531,-37.180000305175781,-32.000000000000000,-46.319999694824219,None,None,None,None,,,,"0"
Cauca,130.00000,No,"129",-75.952160000000006,4.681120000000000,Forearc,Unknown,Unknown,South America,Colombia,Onshore,Paleocene,Danian,66.00,0.00,,,,0.009999999776483,0.009999999776483,0.009999999776483,"19866",-36.324998855590827,-36.324998855590827,-32.459999084472656,-40.189998626708984,Unknown,Unknown,Unknown,Unknown,,,,
Cauvery,131.00000,No,"130",79.335160000000002,9.212999999999999,Passive Margin,None,None,Asia,"India, Sri Lanka",On-Offshore,Jurassic,Oxfordian,163.50,0.00,8.023000000000000,3.597205261477573,1.831500000000000,1.795000012431826,1.250000000000000,3.880000114440918,"163186",-27.120714460100448,-28.500000000000000,-10.760000228881836,-35.970001220703125,None,None,None,None,,,,"0"
Central California Coastal,133.00000,No,"132",-122.580950000000001,37.467689999999997,Strike-Slip,None,Extrusive,North America,USA,On-Offshore,Cretaceous,Berriasian,145.00,0.00,1.691134000000000,0.480457918849840,0.458999900000000,2.000000000000000,2.000000000000000,2.000000000000000,"29315",-21.699999809265137,-21.699999809265137,-20.850000381469727,-22.549999237060547,None,None,None,None,,,,"0"
Central Luzon,135.00000,No,"134",121.000000000000000,15.000000000000000,Backarc - Marginal Sea,None,Extrusive,Asia,Philippines,On-Offshore,Eocene,Bartonian,41.20,0.00,2.235000000000000,1.776259071052632,1.735000000000000,2.703033143442346,1.299999952316284,5.000000000000000,"20881",-31.124645664199139,-30.549999237060547,-30.000000000000000,-31.840000152587891,None,None,None,None,,,,"0"
Central Myanmar,136.00000,No,"135",95.000000000000000,21.000000000000000,Strike-Slip,None,Extrusive,Asia,Myanmar,Onshore,Cretaceous,Cenomanian,100.50,0.00,,,,5.528571435383388,5.500000000000000,8.000000000000000,"88135",-35.054285321916851,-34.840000152587891,-34.709999084472656,-35.759998321533203,None,None,None,None,,,,"0"
Central Sumatra,139.00000,No,"138",101.871700000000004,0.887580000000000,Backarc - Marginal Sea,None,Extrusive,Asia,"Indonesia, Malaysia",On-Offshore,Eocene,Lutetian,47.80,0.00,2.211788000000000,0.970059710936639,0.998000000000000,0.983333344260852,1.000000000000000,1.700000047683716,"121308",-31.323333104451496,-30.969999313354492,-29.979999542236328,-33.000000000000000,None,None,None,None,,,,"0"
Cesar-Rancheria,140.00000,No,"139",-73.287419999999997,10.172180000000001,Fold and Thrust Belt,None,Intrusive,South America,"Colombia, Venezuela",Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,0.703770154931813,1.250000000000000,3.500000000000000,"14408",-34.202055408180179,-32.809999465942383,-30.639999389648438,-49.139999389648438,None,None,None,None,,,,"0"
Chaco,141.00000,No,"140",-60.877490000000002,-30.124500000000001,Intracratonic,Bedded,Extrusive,South America,Argentina,Onshore,Cambrian,Cambrian Upper,497.00,0.00,,,,2.433333335099397,2.500000000000000,3.500000000000000,"363310",-40.407036534062136,-40.919998168945312,-37.950000762939453,-40.959999084472656,None,Bedded,None,Bedded,"Kolla; Albian-Turonian","Tri., Cret.","Anisian-Carnian; Albian-Turonian","2"
Chad,142.00000,No,"141",17.322109999999999,15.953600000000000,Intracratonic,Unknown,Extrusive,Africa,"Chad, Niger",Onshore,Permian,Asselian,298.90,0.00,,,,0.814186044600467,0.699999988079071,3.000000000000000,"518163",-39.987441927887673,-38.720001220703125,-37.529998779296875,-41.779998779296875,Unknown,Unknown,Unknown,Unknown,,,,
Chama,143.00000,No,"142",-106.488320000000002,36.848080000000003,Rift,None,Extrusive,North America,USA,Onshore,Cambrian,Cambrian Upper,497.00,0.00,,,,0.374891850135375,0.500000000000000,0.500000000000000,"6850",-44.321679171424634,-47.130001068115234,-42.090000152587891,-48.049999237060547,None,None,None,None,,,,"0"
Chandrapura,144.00000,No,"143",86.422960000000003,23.766999999999999,Rift,None,None,Asia,India,Onshore,Pennsylvanian,Bashkirian,323.20,0.00,,,,0.009999999776483,0.009999999776483,0.009999999776483,"1161",-45.790000915527344,-45.790000915527344,-45.790000915527344,-45.790000915527344,None,None,None,None,,,,"0"
Chiang Mai,146.00000,No,"145",98.938050000000004,18.577150000000000,Strike-Slip,Unknown,Unknown,Asia,Thailand,Onshore,Oligocene,Rupelian,33.90,0.00,,,,0.013664318682740,0.009999999776483,0.100000001490116,"5093",-34.679674056533919,-35.060001373291016,-33.200000762939453,-36.520000457763672,Unknown,Unknown,Unknown,Unknown,,,,
Chiloe-Osorno,147.00000,No,"146",-74.773340000000005,-42.586419999999997,Forearc,Unknown,Unknown,South America,Chile,On-Offshore,Cretaceous,Santonian,86.30,0.00,0.756000000000000,0.610109126511953,0.617000000000000,0.908000004291534,0.865000009536743,1.500000000000000,"123224",-24.118999958038334,-25.000000000000000,-14.180000305175781,-30.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Chindwin,148.00000,No,"147",95.061719999999994,24.586099999999998,Strike-Slip,None,Extrusive,Asia,"Myanmar, India",Onshore,Triassic,Carnian,237.00,0.00,,,,3.700000000000000,2.500000000000000,7.500000000000000,"53334",-36.993999481201165,-35.669998168945312,-35.459999084472656,-42.509998321533203,None,None,None,None,,,,"0"
Chiriqui,149.00000,No,"148",-82.063749999999999,7.915270000000000,Forearc,Unknown,Unknown,Central America,"Panama, Costa Rica",On-Offshore,Cretaceous,Aptian,125.00,0.00,0.773000000000000,0.391317532418636,0.360500000000000,0.055000000633299,0.055000000633299,0.100000001490116,"20415",-21.414999961853027,-21.414999961853027,-18.260000228881836,-24.569999694824219,Unknown,Unknown,Unknown,Unknown,,,,
Choco,150.00000,No,"149",-77.048259999999999,7.221220000000000,Forearc,Unknown,Unknown,South America,"Colombia, Panama",On-Offshore,Cretaceous,Maastrichtian,72.10,0.00,3.569544000000000,1.318376775510204,1.293000000000000,1.433333317438761,1.500000000000000,1.500000000000000,"41034",-27.143333435058594,-26.159999847412109,-25.870000839233398,-29.399999618530273,Unknown,Unknown,Unknown,Unknown,,,,
Chuxiong,152.00000,No,"151",101.943209999999993,25.289190000000001,Strike-Slip,Unknown,Unknown,Asia,China,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,0.386666667337219,0.100000001490116,2.000000000000000,"63844",-43.151666641235352,-44.289999008178711,-35.860000610351562,-47.950000762939453,Unknown,Unknown,Unknown,Unknown,,,,
Cibao,153.00000,No,"152",-71.220529999999997,19.629480000000001,Strike-Slip,Unknown,Unknown,Central America,"Dominican Republic, Haiti",On-Offshore,Cretaceous,Cenomanian,100.50,0.00,2.068000000000000,1.865456140350877,1.906000000000000,1.461246699831635,1.099999994039536,5.000000000000000,"14417",-19.243218519313150,-19.245000839233398,-17.920000076293945,-20.370000839233398,Unknown,Unknown,Unknown,Unknown,,,,
Clarence,154.00000,No,"153",153.047370000000001,-29.273599999999998,Passive Margin,None,Unknown,South Pacific,Australia,On-Offshore,Triassic,Induan,252.17,0.00,1.156000000000000,1.144094827586207,1.144000000000000,1.099999994039536,1.000000000000000,1.500000000000000,"41933",-31.545000076293945,-31.590000152587891,-27.909999847412109,-35.090000152587891,None,None,None,None,,,,"0"
Cooper,160.00000,No,"159",140.373250000000013,-28.292870000000001,Intracratonic,None,None,South Pacific,Australia,Onshore,Proterozoic,Paleoproterozoic,2500.00,0.00,,,,2.194000007659197,2.500000000000000,3.700000047683716,"324212",-35.852000274658202,-35.529998779296875,-32.490001678466797,-40.330001831054688,None,None,None,None,,,,"0"
Cotabato,161.00000,No,"160",124.217820000000003,7.175650000000000,Backarc - Marginal Sea,Unknown,Unknown,Asia,Philippines,On-Offshore,Oligocene,Chattian,28.10,0.00,1.362000000000000,1.196309090909091,1.188000000000000,0.888197149694105,1.000000000000000,1.299999952316284,"10231",-30.797454026242931,-30.790000915527344,-30.500000000000000,-31.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Cote d'Ivoire,162.00000,No,"161",-4.957690000000000,4.624900000000000,Passive Margin,None,None,Africa,"Cote d'Ivoire, Ghana, Liberia",On-Offshore,Cambrian,Cambrian Lower,542.00,0.00,4.106000000000000,2.082873063396779,2.052000000000000,2.409999942779541,2.599999904632568,2.849999904632568,"66218",-21.000000000000000,-20.000000000000000,-17.000000000000000,-25.000000000000000,None,None,None,None,,,,"0"
Culpeper,165.00000,No,"164",-77.645269999999996,38.806710000000002,Rift,None,Extrusive,North America,USA,Onshore,Triassic,Carnian,237.00,0.00,,,,0.062299442681182,0.009999999776483,0.100000001490116,"5675",-30.922861083959543,-30.510000228881836,-29.969999313354492,-36.020000457763672,None,None,None,None,,,,"0"
Cuyama-Salinas-San Francisco,167.00000,No,"166",-120.242289999999997,35.238810000000001,Strike-Slip,None,None,North America,USA,Onshore,Cretaceous,Berriasian,145.00,0.00,0.523000000000000,0.503399980000000,0.500499950000000,1.500000000000000,1.500000000000000,2.500000000000000,"24355",-22.684999465942383,-22.684999465942383,-20.709999084472656,-24.659999847412109,None,None,None,None,,,,"0"
Cuyo,168.00000,No,"167",-67.713419999999999,-33.444310000000002,Foreland,None,Extrusive,South America,Argentina,Onshore,Devonian,Lochkovian,419.20,0.00,,,,1.279999999205271,1.000000000000000,3.000000000000000,"199376",-44.487999979654951,-44.500000000000000,-35.540000915527344,-58.020000457763672,None,None,None,None,,,,"0"
Dalhart,170.00000,No,"169",-103.133949999999999,36.043349999999997,Strike-Slip,None,Intrusive,North America,USA,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,1.537156109757173,1.149999976158142,2.400000095367432,"14101",-42.718163367606699,-42.704999923706055,-41.330001831054688,-44.889999389648438,None,None,None,None,,,,"0"
Daltonganj,171.00000,No,"170",84.000000000000000,24.100000000000001,Rift,Unknown,Unknown,Asia,India,Onshore,Pennsylvanian,Bashkirian,323.20,0.00,,,,0.065880009811707,0.055000000633299,0.100000001490116,"1409",-43.948517495007437,-43.590000152587891,-39.360000610351562,-44.680000305175781,Unknown,Unknown,Unknown,Unknown,,,,
Dan River-Danville,172.00000,No,"171",-79.655019999999993,36.586399999999998,Rift,None,Extrusive,North America,USA,Onshore,Triassic,Carnian,237.00,0.00,,,,0.009999999776483,0.009999999776483,0.009999999776483,"6005",-42.852473330791533,-39.539999008178711,-37.880001068115234,-49.529998779296875,None,None,None,None,,,,"0"
Danjo,173.00000,No,"172",128.969560000000001,31.748480000000001,Backarc - Marginal Sea,Unknown,Unknown,Asia,"Japan, South Korea",On-Offshore,Jurassic,Hettangian,201.30,0.00,4.636000000000000,2.163052498437500,2.133000000000000,1.566666682561239,1.500000000000000,2.200000047683716,"38381",-30.000000000000000,-30.000000000000000,-30.000000000000000,-30.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Deep River,176.00000,No,"175",-79.401489999999995,35.461370000000002,Rift,None,Extrusive,North America,USA,Onshore,Triassic,Carnian,237.00,0.00,,,,0.297354097447813,0.100000001490116,0.500000000000000,"6948",-36.003912302418968,-36.209999084472656,-33.889999389648438,-39.709999084472656,None,None,None,None,,,,"0"
Dharoor,178.00000,No,"177",49.299999999999997,10.500000000000000,Rift,Unknown,Unknown,Africa,Somalia,Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,2.307065610237478,2.500000000000000,4.500000000000000,"11790",-29.888779747300852,-29.959999084472656,-28.930000305175781,-30.170000076293945,Unknown,Unknown,Unknown,Unknown,,,,
Diego Ramirez,179.00000,No,"178",-70.808869999999999,-55.002540000000003,Strike-Slip,Unknown,Extrusive,South America,"Chile, Argentina",On-Offshore,Cretaceous,Santonian,86.30,0.00,1.634000000000000,0.699252589319693,0.682000000000000,0.783571429550648,0.715000003576279,1.899999976158142,"181072",-25.140714304787771,-25.000000000000000,-14.130000114440918,-29.940000534057617,Unknown,Unknown,Unknown,Unknown,,,,
Diyarbakir,180.00000,No,"179",40.791240000000002,38.064880000000002,Fold and Thrust Belt,Bedded,Extrusive,Middle East,Turkey,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,0.100000001490116,0.100000001490116,0.100000001490116,"34414",-38.920000076293945,-38.920000076293945,-37.540000915527344,-40.299999237060547,None,None,Bedded,None,"Sinemurian-Pliensbachian; Bartonian-Rupelian","Jur., Eo., Oligo.","Sinemurian-Pliensbachian; Bartonian-Rupelian","2"
Djaz Murian,181.00000,No,"180",59.224919999999997,27.372370000000000,Fold and Thrust Belt,Unknown,Unknown,Middle East,Iran,Onshore,Cretaceous,Santonian,86.30,0.00,,,,0.200000005463759,0.200000002980232,0.300000011920929,"28738",-41.373332977294922,-41.209999084472656,-40.860000610351562,-42.049999237060547,Unknown,Unknown,Unknown,Unknown,,,,
Doba,183.00000,No,"182",16.223220000000001,8.678210000000000,Rift,None,None,Africa,"Chad, Cameroon, Central African Republic, Nigeria",Onshore,Cretaceous,Berriasian,145.00,0.00,,,,1.066666670971447,1.000000000000000,2.500000000000000,"115328",-41.716666327582466,-41.610000610351562,-38.669998168945312,-42.650001525878906,None,None,None,None,,,,"0"
Doseo,184.00000,No,"183",20.674360000000000,10.223000000000001,Rift,None,Extrusive,Africa,"Chad, Central African Republic, Sudan",Onshore,Jurassic,Tithonian,152.10,0.00,,,,1.609999996423721,1.500000000000000,3.000000000000000,"150172",-39.167000579833982,-38.570001602172844,-38.509998321533203,-41.619998931884766,None,None,None,None,,,,"0"
Douala,185.00000,No,"184",8.539429999999999,1.880830000000000,Passive Margin,Bedded,Extrusive,Africa,"Sao Tome and Principe, Equatorial Guinea, Cameroon, Gabon",On-Offshore,Cretaceous,Berriasian,145.00,0.00,7.014000000000000,4.838651252042802,4.826000000000000,3.087500005960464,3.175000071525574,4.250000000000000,"103162",-21.227499961853027,-20.500000000000000,-13.819999694824219,-28.000000000000000,None,None,None,Bedded,Aptian,Cretaceous,Aptian,"1"
East China Sea,193.00000,No,"192",124.307159999999996,28.333490000000001,Backarc - Marginal Sea,None,Extrusive,Asia,"China, South Korea, Japan, Taiwan",On-Offshore,Triassic,Carnian,237.00,0.00,10.682000000000000,2.281353211668389,2.174867000000000,1.981632655676530,2.000000000000000,4.800000190734864,"588233",-29.484897963854731,-30.000000000000000,-22.379999160766602,-34.409999847412109,None,None,None,None,,,,"0"
East Coast,194.00000,No,"193",177.355439999999987,-40.923189999999998,Forearc,None,Extrusive,South Pacific,New Zealand,On-Offshore,Jurassic,Oxfordian,163.50,0.00,0.890999900000000,0.513166645381817,0.505000000000000,1.147916677097480,0.949999988079071,3.900000095367432,"279293",-21.260833263397217,-21.000000000000000,-10.229999542236328,-34.569999694824219,None,None,None,None,,,,"0"
East Java,196.00000,No,"195",116.240690000000001,-6.737130000000000,Backarc - Marginal Sea,None,Extrusive,Asia,Indonesia,On-Offshore,Jurassic,Hettangian,201.30,0.00,4.681764000000000,1.571813428376535,1.559000000000000,2.957142846924918,2.600000023841858,5.199999809265138,"201143",-29.257857186453684,-29.000000000000000,-25.000000000000000,-31.739999771118164,None,None,None,None,,,,"0"
East Mindoro,199.00000,No,"198",122.000000000000000,13.000000000000000,Backarc - Marginal Sea,Unknown,Unknown,Asia,Philippines,On-Offshore,Jurassic,Oxfordian,163.50,0.00,6.565000000000000,2.140415156545961,1.988000000000000,0.500000000000000,0.500000000000000,0.500000000000000,"35036",-31.000000000000000,-31.000000000000000,-31.000000000000000,-31.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
East Niger,200.00000,No,"199",11.477869999999999,16.450920000000000,Rift,Unknown,Unknown,Africa,"Niger, Nigeria, Chad, Algeria, Cameroon",Onshore,Permian,Asselian,298.90,0.00,,,,1.535714288552602,1.000000000000000,6.500000000000000,"540800",-40.189524060203915,-40.620000839233398,-37.560001373291016,-42.630001068115234,Unknown,Unknown,Unknown,Unknown,,,,
East Palawan,201.00000,No,"200",119.356139999999996,9.057100000000000,Backarc - Marginal Sea,None,None,Asia,"Philippines, Malaysia",On-Offshore,Paleocene,Thanetian,59.20,0.00,5.794000000000000,2.491761421435229,2.201000000000000,1.711111121707492,1.500000000000000,3.500000000000000,"92779",-23.222222222222221,-23.000000000000000,-23.000000000000000,-24.000000000000000,None,None,None,None,,,,"0"
Edmund-Collier,208.00000,No,"207",117.819609999999997,-24.286439999999999,Rift,Unknown,Unknown,South Pacific,Australia,Onshore,Proterozoic,Mesoproterozoic,1600.00,0.00,,,,0.241666673372189,0.250000007450581,0.400000005960464,"150496",-37.377499898274742,-38.000000000000000,-33.259998321533203,-40.119998931884766,Unknown,Unknown,Unknown,Unknown,,,,
Enriquillo-Hatia,212.00000,No,"211",-72.218549999999993,18.794899999999998,Strike-Slip,Unknown,Unknown,Central America,"Haiti, Dominican Republic",On-Offshore,Miocene,Langhian,15.97,0.00,1.526000000000000,1.160907946938775,1.116500000000000,0.849999994039536,0.849999994039536,1.000000000000000,"32711",-20.619999885559086,-20.619999885559086,-20.440000534057617,-20.799999237060547,Unknown,Unknown,Unknown,Unknown,,,,
Espirito Santo,214.00000,No,"213",-38.877360000000003,-18.520930000000000,Passive Margin,Mobile,Extrusive,South America,Brazil,On-Offshore,Jurassic,Hettangian,201.30,0.00,5.844000000000000,2.310535337962963,1.995000000000000,2.702857111181532,2.519999980926514,6.489999771118164,"94667",-27.301428658621653,-27.000000000000000,-20.000000000000000,-31.940000534057617,None,None,None,Mobile,"Mariricu; Itaunas",Cretaceous,"Aptian; Albian","2"
Estancia,216.00000,No,"215",-105.947590000000005,34.737340000000003,Rift,None,Extrusive,North America,USA,Onshore,Mississippian,Tournaisian,358.90,0.00,,,,0.519459787421291,0.400000005960464,0.699999988079071,"4347",-40.113316042242872,-39.055000305175781,-36.299999237060547,-41.889999389648438,None,None,None,None,,,,"0"
Etosha,217.00000,No,"216",16.285480000000000,-17.683499999999999,Intracratonic,None,Extrusive,Africa,"Angola, Namibia",Onshore,Proterozoic,Mesoproterozoic,1600.00,0.00,,,,2.785714277199336,2.200000047683716,5.500000000000000,"259714",-40.038095565069291,-39.810001373291016,-36.790000915527344,-44.939998626708984,None,None,None,None,,,,"0"
Euphrates,218.00000,No,"217",40.549500000000002,35.117899999999999,Rift,Bedded,Extrusive,Middle East,"Syria, Iraq",Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,5.000000000000000,5.000000000000000,6.000000000000000,"43704",-34.079999923706055,-34.079999923706055,-33.919998168945312,-34.240001678466797,None,Bedded,Bedded,None,"Mulussa; Adaiyah; Fars","Tri., Jur., Mio., Plio.","Induan-Callovian; Pliensbachian; Aquitanian-Piacenzian","3"
Eyasi-Wembere,219.00000,No,"218",36.007129999999997,-2.864830000000000,Rift,Unknown,Extrusive,Africa,"Tanzania, Kenya",Onshore,Oligocene,Chattian,28.10,0.00,,,,0.211841718542046,0.200000002980232,0.300000011920929,"12430",-34.730654525275284,-33.799999237060547,-29.399999618530273,-38.080001831054688,Unknown,Unknown,Unknown,Unknown,,,,
Falkland Plateau,221.00000,No,"220",-48.692219999999999,-51.152909999999999,Passive Margin,Unknown,Unknown,South America,"Falkland Islands, UK",Offshore,Jurassic,Hettangian,201.30,0.00,5.890000000000000,2.974254593400030,3.018000000000000,3.413555549912982,3.200000047683716,6.829999923706056,"577933",-16.501333321465385,-15.250000000000000,-10.729999542236328,-23.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Fang,222.00000,No,"221",99.219130000000007,19.870999999999999,Strike-Slip,Unknown,Unknown,Asia,"Thailand, Myanmar",Onshore,Oligocene,Rupelian,33.90,0.00,,,,0.009999999776483,0.009999999776483,0.009999999776483,"1816",-36.274266946378653,-36.210000991821289,-36.090000152587891,-36.330001831054688,Unknown,Unknown,Unknown,Unknown,,,,
Fiji,225.00000,No,"224",178.572399999999988,-17.334589999999999,Backarc - Marginal Sea,Unknown,Extrusive,South Pacific,Fiji,On-Offshore,Oligocene,Rupelian,33.90,0.00,0.300000000000000,0.106526619312268,0.086999990000000,0.045000000546376,0.050000000745058,0.050000000745058,"63567",-19.963333129882812,-20.000000000000000,-18.139999389648438,-21.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Florida-Bahama,226.00000,No,"225",-76.445700000000002,23.603149999999999,Passive Margin,Unknown,Unknown,Central America,"Bahamas, USA, Turks and Caicos, Cuba, Dominican Republic",On-Offshore,Jurassic,Hettangian,201.30,0.00,9.005897000000003,4.617521884022290,5.182500000000000,6.092187486588956,6.000000000000000,10.000000000000000,"415089",-21.853749871253967,-21.519999504089355,-10.600000381469727,-32.000000000000000,Unknown,Unknown,Unknown,Unknown,,,,
Formigas,228.00000,No,"227",-75.581249999999997,18.801549999999999,Strike-Slip,Unknown,Unknown,Central America,"Jamaica, Haiti, Cuba",On-Offshore,Cretaceous,Valanghian,139.80,0.00,2.083000000000000,1.063600895739910,1.001000000000000,1.266666650772095,1.299999952316284,1.399999976158142,"38803",-22.946666717529297,-21.739999771118164,-17.250000000000000,-29.850000381469727,Unknown,Unknown,Unknown,Unknown,,,,
Fort Worth,229.00000,No,"228",-99.091260000000005,32.654000000000003,Foreland,None,None,North America,USA,Onshore,Cambrian,Cambrian Middle,509.00,0.00,,,,2.445454554124312,2.200000047683716,4.500000000000000,"137404",-40.627272519198328,-41.430000305175781,-33.279998779296875,-44.340000152587891,None,None,None,None,,,,"0"
Gabon,233.00000,No,"232",8.972049999999999,-1.102920000000000,Passive Margin,Mobile,Extrusive,Africa,"Gabon, Equatorial Guinea, Sao Tome and Principe",On-Offshore,Proterozoic,Paleoproterozoic,2500.00,0.00,5.982000000000000,4.423686695020746,4.405000000000000,3.954545476219871,4.280000209808350,6.010000228881836,"130185",-25.434545343572442,-24.000000000000000,-15.000000000000000,-35.860000610351562,Bedded,None,None,Mobile,"Agoula; Ezanga","Perm., Cret.","Asselian-Changhsingian; Aptian","2"
Galilee,235.00000,No,"234",142.834360000000004,-22.995400000000000,Intracratonic,Unknown,Unknown,South Pacific,Australia,Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,1.538888891537984,1.500000000000000,2.500000000000000,"199431",-38.201111263699005,-38.199998855590827,-35.740001678466797,-41.529998779296875,Unknown,Unknown,Unknown,Unknown,,,,
Ganges,236.00000,No,"235",81.857029999999995,27.879539999999999,Foreland,None,Extrusive,Asia,"India, Nepal, Bangladesh, Pakistan, Bhutan",Onshore,Proterozoic,Paleoproterozoic,2500.00,0.00,,,,2.841860461546931,2.200000047683716,8.000000000000000,"487730",-44.309302485266400,-44.790000915527344,-34.830001831054688,-53.259998321533203,None,None,None,None,,,,"0"
Gao,237.00000,No,"236",0.087080000000000,17.399239999999999,Rift,Unknown,Unknown,Africa,Mali,Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,0.977777772479587,0.699999988079071,2.000000000000000,"106644",-45.951110839843750,-46.169998168945312,-45.119998931884766,-46.220001220703125,Unknown,Unknown,Unknown,Unknown,,,,
Gaziantep,238.00000,No,"237",38.322090000000003,37.611910000000002,Strike-Slip,Unknown,Extrusive,Middle East,"Turkey, Syria",Onshore,Cambrian,Cambrian Middle,509.00,0.00,,,,0.100000001490116,0.100000001490116,0.100000001490116,"32934",-36.155000686645501,-36.155000686645501,-36.130001068115234,-36.180000305175781,Unknown,Unknown,Unknown,Unknown,,,,
Georgina,240.00000,No,"239",136.466939999999994,-19.925120000000000,Intracratonic,None,Extrusive,South Pacific,Australia,Onshore,Proterozoic,Paleoproterozoic,2500.00,0.00,,,,0.518181825903329,0.500000000000000,1.000000000000000,"269470",-42.025909250432797,-42.284999847412109,-36.549999237060547,-45.790000915527344,None,None,None,None,,,,"0"
Ghadames,241.00000,No,"240",12.964350000000000,30.241379999999999,Intracratonic,Bedded,Extrusive,Africa,"Libya, Tunisia",Onshore,Proterozoic,Neoproterozoic,1000.00,0.00,,,,2.394444425900777,2.899999976158142,4.000000000000000,"248684",-35.955000135633682,-36.125000000000000,-33.470001220703125,-37.790000915527344,None,Bedded,Bedded,Bedded,"Bashkirian; Bou Sceba; Abreghs; Mizdah; Lutetian-Bartonian","Penn., Tri., Jur., Cret., Eo.","Bashkirian; Carnian-Rhaetian; Toarcian-Aalenian; Santonian-Campanian; Lutetian-Bartonian","5"
Gindi,242.00000,No,"241",30.609610000000000,29.537669999999999,Strike-Slip,None,Extrusive,Africa,Egypt,Onshore,Cambrian,Cambrian Lower,542.00,0.00,,,,3.566666682561239,3.700000047683716,4.000000000000000,"35080",-32.430000305175781,-32.259998321533203,-32.220001220703125,-32.810001373291016,None,None,None,None,,,,"0"
Gippsland,243.00000,No,"242",148.078020000000009,-38.626820000000002,Passive Margin,None,Extrusive,South Pacific,Australia,On-Offshore,Devonian,Frasnian,382.70,0.00,2.427000000000000,1.553737147764450,1.553000000000000,2.188888865212599,1.899999976158142,4.199999809265137,"111144",-30.422222137451172,-29.209999084472656,-24.450000762939453,-37.729999542236328,None,None,None,None,,,,"0"
Godavari-Pranhita,244.00000,No,"243",80.242549999999994,18.543970000000002,Rift,Unknown,Unknown,Asia,India,Onshore,Pennsylvanian,Bashkirian,323.20,0.00,,,,0.100000001490116,0.100000001490116,0.100000001490116,"25834",-40.700000762939453,-40.700000762939453,-39.930000305175781,-41.470001220703125,Unknown,Unknown,Unknown,Unknown,,,,
Gonghe,245.00000,No,"244",100.226420000000005,36.125599999999999,Fold and Thrust Belt,Unknown,Unknown,Asia,China,Onshore,Mississippian,Tournaisian,358.90,0.00,,,,0.185643587775242,0.150000002235174,0.300000011920929,"11450",-49.618422742836955,-49.184999465942383,-45.830001831054688,-53.400001525878906,Unknown,Unknown,Unknown,Unknown,,,,
Gorontalo,246.00000,No,"245",120.788380000000004,-0.069350000000000,Forearc,None,Extrusive,Asia,Indonesia,On-Offshore,Oligocene,Rupelian,33.90,0.00,3.862000000000000,2.528851600707214,2.758000000000000,1.216666651268800,0.900000005960464,2.500000000000000,"65609",-30.000000000000000,-30.000000000000000,-30.000000000000000,-30.000000000000000,None,None,None,None,,,,"0"
Great South,250.00000,No,"249",170.508790000000005,-48.757129999999997,Passive Margin,None,Extrusive,South Pacific,New Zealand,On-Offshore,Cretaceous,Barremian,129.40,0.00,1.672000000000000,0.471678119017497,0.414000000000000,1.280804596027766,1.000000000000000,5.300000190734864,"1062750",-19.746091952269104,-20.000000000000000,-9.670000076293945,-29.600000381469727,None,None,None,None,,,,"0"
